Transaction Date,Post Date,Description,Category,Type,Amount
8/16/2021,8/18/2021,OLD FAITHFUL UPPER,Shopping,Sale,-6.91
8/16/2021,8/18/2021,SNOWLODGE DINING &amp; BAR,Food & Drink,Sale,-5.36
8/16/2021,8/18/2021,SNOWLODGE DINING &amp; BAR,Food & Drink,Sale,-30.76
8/15/2021,8/17/2021,TOWER JUNCTION STATION,Gas,Sale,-45.91
8/16/2021,8/17/2021,SQ *LAS PALMITAS INC,Food & Drink,Sale,-26.66
8/16/2021,8/16/2021,Offer:Starbucks,Fees & Adjustments,Adjustment,0.51
8/16/2021,8/16/2021,Offer:McDonalds,Fees & Adjustments,Adjustment,1.66
8/15/2021,8/16/2021,TST* OHM - GOURMANDISE,Food & Drink,Sale,-19.35
8/14/2021,8/16/2021,DELTA AIR   Baggage Fee,Travel,Sale,-30
8/15/2021,8/16/2021,GARDINER MARKET,Groceries,Sale,-14.68
8/15/2021,8/16/2021,F45 TRAINING SAUGUS,Health & Wellness,Return,88
8/14/2021,8/16/2021,SAFEWAY #2999,Groceries,Sale,-183.17
8/14/2021,8/15/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-10.69
8/14/2021,8/15/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
8/14/2021,8/15/2021,ROXY'S MARKET,Groceries,Sale,-19.75
8/12/2021,8/15/2021,FIVE GUYS MA 1268 QSR,Food & Drink,Sale,-24.07
8/14/2021,8/15/2021,FEED CAFE,Food & Drink,Sale,-35.5
8/13/2021,8/13/2021,Payment Thank You-Mobile,,Payment,1500
8/12/2021,8/13/2021,SAUGUS DELI &amp; PIZZERIA,Food & Drink,Sale,-13.6
8/13/2021,8/13/2021,AMZN Mktp US*2D7F21011,Shopping,Sale,-29.93
8/10/2021,8/11/2021,IKEA STOUGHTON,Home,Sale,-91.22
8/10/2021,8/11/2021,IKEA STOUGHTON REST,Food & Drink,Sale,-3.98
8/9/2021,8/11/2021,STARBUCKS STORE 13978,Food & Drink,Sale,-5.08
8/10/2021,8/11/2021,IKEA STOUGHTON REST,Food & Drink,Sale,-21.16
8/10/2021,8/11/2021,MCDONALD'S F2392,Food & Drink,Sale,-16.55
8/8/2021,8/9/2021,TST* SWISSBAKERS - ALLSTO,Food & Drink,Sale,-32.5
8/8/2021,8/9/2021,SCC ANIMAL SHELTER,Shopping,Sale,-10
8/7/2021,8/8/2021,Amazon.com*2P7EL7UG1,Shopping,Sale,-4.68
8/7/2021,8/8/2021,Amazon.com*2P5952SZ0,Shopping,Sale,-5.65
8/7/2021,8/8/2021,TST* SWISSBAKERS - READIN,Food & Drink,Sale,-15
8/5/2021,8/8/2021,TSAOCAA TEA,Food & Drink,Sale,-12.31
8/4/2021,8/5/2021,GLACIER GUIDES,Entertainment,Sale,-265.32
8/4/2021,8/5/2021,AMZN Mktp US*2P4LH6DH1,Shopping,Sale,-50.3
8/4/2021,8/5/2021,AMZN Mktp US*2P5OZ1EH2,Shopping,Sale,-29.43
8/3/2021,8/5/2021,MIKES PASTRY II,Food & Drink,Sale,-16.05
8/5/2021,8/5/2021,Amazon.com*2P9T56SP1,Shopping,Sale,-37.18
8/4/2021,8/5/2021,HLLFRSH*2696147169,Groceries,Sale,-98.82
8/3/2021,8/4/2021,ALTAR'D STATE ECOMM #100,Shopping,Sale,-19.99
8/2/2021,8/4/2021,ALDI 73079,Groceries,Sale,-55.61
8/4/2021,8/4/2021,AIRBNB  HMWNCHA38A,Travel,Sale,-352.1
8/2/2021,8/3/2021,ALTAR'D STATE ECOMM #100,Shopping,Sale,-15.99
8/2/2021,8/3/2021,ALTAR'D STATE ECOMM #100,Shopping,Sale,-44.98
8/2/2021,8/3/2021,ALTAR'D STATE ECOMM #100,Shopping,Sale,-25.99
8/2/2021,8/3/2021,ALTAR'D STATE ECOMM #100,Shopping,Sale,-19.99
8/1/2021,8/2/2021,SPEEDWAY 02481,Gas,Sale,-34.31
8/1/2021,8/2/2021,SQ *TSAOCAA (BOSTON),Food & Drink,Sale,-5.63
8/1/2021,8/2/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-22.65
7/30/2021,8/1/2021,ENJOY BETTER COFFEE,Shopping,Sale,-88.25
7/31/2021,8/1/2021,UDEMY ONLINE COURSES,Education,Sale,-12.59
7/30/2021,8/1/2021,GIBBS OIL #1334,Gas,Sale,-9.1
7/31/2021,8/1/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
7/30/2021,8/1/2021,TSAOCAA TEA,Food & Drink,Sale,-11.72
7/30/2021,7/30/2021,PAYPAL *UDEMY,Education,Sale,-13.99
7/30/2021,7/30/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
7/30/2021,7/30/2021,UDEMY: ONLINE COURSES,Education,Sale,-46.77
7/28/2021,7/29/2021,POPEYES 11230,Food & Drink,Sale,-21.38
7/28/2021,7/29/2021,HLLFRSH*2944427769,Groceries,Sale,-35.96
7/28/2021,7/29/2021,HLLFRSH*2745478769,Groceries,Sale,-98.82
7/27/2021,7/28/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-41.64
7/25/2021,7/27/2021,TSAOCAA TEA,Food & Drink,Sale,-26.43
7/23/2021,7/25/2021,AMZN Mktp US*2E1Y07QQ0,Shopping,Sale,-38.51
7/23/2021,7/25/2021,TST* NACO TACO,Food & Drink,Sale,-179
7/24/2021,7/25/2021,WM SUPERCENTER #3114,Groceries,Sale,-20.49
7/23/2021,7/25/2021,PAS*PASSPT CAMBRIDG P,Travel,Sale,-1
7/22/2021,7/22/2021,Payment Thank You-Mobile,,Payment,1100.7
7/20/2021,7/22/2021,TSAOCAA TEA,Food & Drink,Sale,-12.73
7/21/2021,7/22/2021,HLLFRSH*2275248969,Groceries,Sale,-119.78
7/21/2021,7/21/2021,LYFT   *RIDE MON 4PM,Travel,Sale,-31.72
7/19/2021,7/21/2021,MSP AIRP PANDA EXPRESS 12,Food & Drink,Sale,-8.59
7/19/2021,7/21/2021,QUANGS,Food & Drink,Sale,-72.34
7/20/2021,7/20/2021,TST* FAMIGLIA FORNACIARI,Food & Drink,Sale,-23.54
7/18/2021,7/19/2021,adidas 6145 Albertville,Shopping,Return,11.02
7/18/2021,7/19/2021,adidas 6145 Albertville,Shopping,Sale,-111.96
7/18/2021,7/19/2021,UNCOMMON GROUNDS,Groceries,Sale,-7
7/18/2021,7/19/2021,LULULEMON ALBERTVILLE,Shopping,Sale,-98
7/18/2021,7/18/2021,LYFT   *RIDE SAT 2AM,Travel,Sale,-35.99
7/14/2021,7/15/2021,WALGREENS #2577,Health & Wellness,Sale,-16.46
7/13/2021,7/15/2021,CUMBERLAND FARMS 6757,Gas,Sale,-34.85
7/13/2021,7/15/2021,DUNKIN' MOBILE,Food & Drink,Sale,-25
7/14/2021,7/15/2021,HLLFRSH*2941429269,Groceries,Sale,-95.13
7/13/2021,7/14/2021,MARKET BASKET 00000828,Groceries,Sale,-22.29
7/13/2021,7/14/2021,COSTCO WHSE #0301,Shopping,Sale,-232.73
7/13/2021,7/14/2021,NAYAX VENDING 25,Food & Drink,Sale,-1.5
7/13/2021,7/14/2021,NAYAX VENDING 25,Food & Drink,Sale,-1.5
7/13/2021,7/14/2021,RMV DANVERS,Bills & Utilities,Sale,-30
7/11/2021,7/12/2021,BIG FUN CAFE,Food & Drink,Sale,-27.66
7/11/2021,7/12/2021,99 RANCH MARKET #16,Groceries,Sale,-140.46
7/1/2021,7/1/2021,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95
